Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2013,Population covered by PATH,Jamaica,,%,13.7
2013,Population covered by PATH,,Children,%,40.7
2013,Population covered by PATH,,Adult,%,0.4
2013,Population covered by PATH,,Persons with disabilities,%,8.1
2013,Population covered by PATH,,Elderly,%,19.7
2013,Population covered by PATH,,Pregnant and Lactating Women,%,4.7
2014,Population covered by PATH,Jamaica,,%,13.7
2014,Population covered by PATH,,Children,%,30.9
2014,Population covered by PATH,,Adult,%,0.7
2014,Population covered by PATH,,Persons with disabilities,%,8.6
2014,Population covered by PATH,,Elderly,%,20.1
2014,Population covered by PATH,,Pregnant and Lactating Women,%,5.5
2015,Population covered by PATH,Jamaica,,%,13.9
2015,Population covered by PATH,,Children,%,32.4
2015,Population covered by PATH,,Adult,%,0.7
2015,Population covered by PATH,,Persons with disabilities,%,9.4
2015,Population covered by PATH,,Elderly,%,20.4
2015,Population covered by PATH,,Pregnant and Lactating Women,%,5.3
2012,Persons Registered with the National Insurance Scheme,Jamaica,,%,39.1
2012,Persons Registered with the National Insurance Scheme,KMA,,%,49.4
2012,Persons Registered with the National Insurance Scheme,OUC,,%,44.6
2012,Persons Registered with the National Insurance Scheme,Rural,,%,29.8
2012,Persons Registered with the National Insurance Scheme,,Male,%,38.0
2012,Persons Registered with the National Insurance Scheme,,Female,%,40.1
2013,Persons Registered with the National Insurance Scheme,Jamaica,,%,44.9
2013,Persons Registered with the National Insurance Scheme,KMA,,%,59.3
2013,Persons Registered with the National Insurance Scheme,OUC,,%,42.4
2013,Persons Registered with the National Insurance Scheme,Rural,,%,36.4
2013,Persons Registered with the National Insurance Scheme,,Male,%,42.9
2013,Persons Registered with the National Insurance Scheme,,Female,%,46.7
2014,Persons Registered with the National Insurance Scheme,Jamaica,,%,46.7
2014,Persons Registered with the National Insurance Scheme,KMA,,%,55.3
2014,Persons Registered with the National Insurance Scheme,OUC,,%,56.8
2014,Persons Registered with the National Insurance Scheme,Rural,,%,36.0
2014,Persons Registered with the National Insurance Scheme,,Male,%,45.1
2014,Persons Registered with the National Insurance Scheme,,Female,%,48.1
2015,Persons Registered with the National Insurance Scheme,Jamaica,,%,47.1
2015,Persons Registered with the National Insurance Scheme,KMA,,%,57.7
2015,Persons Registered with the National Insurance Scheme,OUC,,%,56.3
2015,Persons Registered with the National Insurance Scheme,Rural,,%,36.2
2015,Persons Registered with the National Insurance Scheme,,Male,%,45.8
2015,Persons Registered with the National Insurance Scheme,,Female,%,48.3
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1354
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1517
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,2871
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,212
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,344
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,556
2017,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,444
2017,Outdoor Persons Registered on Poor Relief Programme,Portland. Female,Number,587
2017,Outdoor Persons Registered on Poor Relief Programme,Portland,Total,Number,1031
2017,Outdoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,315
2017,Outdoor Persons Registered on Poor Relief Programme,St Mary Female,Number,204
2017,Outdoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,519
2017,Outdoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,453
2017,Outdoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,486
2017,Outdoor Persons Registered on Poor Relief Programme,St Ann,Total,939
2017,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,252
2017,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,214
2017,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,466
2017,Outdoor Persons Registered on Poor Relief Programme,St James,Male,Number,685
2017,Outdoor Persons Registered on Poor Relief Programme,St James,Female,Number,586
2017,Outdoor Persons Registered on Poor Relief Programme,St James,Total,Number,1271
2017,Outdoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,322
2017,Outdoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,389
2017,Outdoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,711
2017,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,281
2017,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,274
2017,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,555
2017,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,292
2017,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,374
2017,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,666
2017,Outdoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,301
2017,Outdoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,231
2017,Outdoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,532
2017,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,662
2017,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,563
2017,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,1225
2017,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,847
2017,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,749
2017,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,1596
2017,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,6420
2017,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6518
2017,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,12938
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,428
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,585
2017,Outdoor Persons Registered on Poor Relief Programme,Portland,,per 100.000 population,1247
2017,Outdoor Persons Registered on Poor Relief Programme,St Mary,,per 100.000 population,451
2017,Outdoor Persons Registered on Poor Relief Programme,St Ann,,per 100.000 population,539
2017,Outdoor Persons Registered on Poor Relief Programme,Trelawny,,per 100.000 population,613
2017,Outdoor Persons Registered on Poor Relief Programme,St James,,per 100.000 population,684
2017,Outdoor Persons Registered on Poor Relief Programme,Hanover,,per 100.000 population,1011
2017,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,,per 100.000 population,381
2017,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,,per 100.000 population,438
2017,Outdoor Persons Registered on Poor Relief Programme,Manchester,,per 100.000 population,277
2017,Outdoor Persons Registered on Poor Relief Programme,Clarendon,,per 100.000 population,494
2017,Outdoor Persons Registered on Poor Relief Programme,St Catherine,,per 100.000 population,306
2017,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,474
2018,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1284
2018,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1623
2018,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,2907
2018,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,130
2018,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,141
2018,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,271
2018,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,375
2018,Outdoor Persons Registered on Poor Relief Programme,Portland,Female,Number,383
2018,Outdoor Persons Registered on Poor Relief Programme,Portland,Total,Number,758
2018,Outdoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,282
2018,Outdoor Persons Registered on Poor Relief Programme,St Mary Female,Number,242
2018,Outdoor Persons Registered on Poor Relief Programme,St Mary Total,Number,524
2018,Outdoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,434
2018,Outdoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,471
2018,Outdoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,905
2018,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,240
