Year,Pollutant,Unit,Value
2009,Particulate Matter,Tonnes,9694
2009,Sulphur Oxide,Tonnes,82164
2009,Nitrogen Oxides,Tonnes,41061
2009,Lead,,0.18
2009,Total Volatile Organic Compounds,Tonnes,1575
2009,Carbon Monoxide,Tonnes,6435
2010,Particulate Matter,Tonnes,9695
2010,Sulphur Oxide,Tonnes,82165
2010,Nitrogen Oxides,Tonnes,41062
2010,Lead,Tonnes,0.19
2010,Total Volatile Organic Compounds,Tonnes,1576
2010,Carbon Monoxide,Tonnes,6436
2011,Particulate Matter,Tonnes,9696
2011,Sulphur Oxide,Tonnes,82166
2011,Nitrogen Oxides,Tonnes,41063
2011,Lead,Tonnes,0.20
2011,Total Volatile Organic Compounds,Tonnes,1577
2011,Carbon Monoxide,Tonnes,6437
2012,Particulate Matter,Tonnes,9697
2012,Sulphur Oxide,Tonnes,82167
2012,Nitrogen Oxides,Tonnes,41064
2012,Lead,Tonnes,0.21
2012,Total Volatile Organic Compounds,Tonnes 1,578
2012,Carbon Monoxide,Tonnes,6438
2013,Particulate Matter,Tonnes,9698
2013,Sulphur Oxide,Tonnes,82168
2013,Nitrogen Oxides,Tonnes,41065
2013,Lead,Tonnes,0.22
2013,Total Volatile Organic Compounds,Tonnes,1579
2013,Carbon Monoxide,Tonnes,6439
