Year,Type of hazardous waste,Unit,Value,Category of E-waste
2018,Used Lead Acid Battery exported,(Million Tonnes),1887.2,
2018,E-waste exported,(Million Tonnes),21.7,
2019,Used Lead Acid Battery exported,(Million Tonnes),2701.9,
2019,Paint Related Waste exported,(Million Tonnes),6.8,
2009,,('000 tonnes),12.83,Total E-waste generated
2009,,('000 tonnes),3.03,Amount going to large equipment
2009,,('000 tonnes),1.98,Screens monitors and equipment containing screens (..)
2009,,('000 tonnes),2.94,Temperature exchange equipment (Cooling and Freezing Equipment)
2009,,('000 tonnes),4.88,Small E-waste
2009,,('000 tonnes),0.26,of which lamps
2009,,('000 tonnes),3.82,of which small equipment
2009,,('000 tonnes),0.8,of which Small IT and telecommunication equipment
2010,,('000 tonnes),13.56,Total E-waste generated
2010,,('000 tonnes),3.23,Amount going to large equipment
2010,,('000 tonnes),2.12,Screens monitors and equipment containing screens (..)
2010,,('000 tonnes),3.12,Temperature exchange equipment (Cooling and Freezing Equipment)
2010,,('000 tonnes),5.08,Small E-waste
2010,,('000 tonnes),0.28,of which lamps
2010,,('000 tonnes),3.96,of which small equipment
2010,,('000 tonnes),0.84,of which Small IT and telecommunication equipment
2011,,('000 tonnes),14.36,Total E-waste generated
2011,,('000 tonnes),3.5,Amount going to large equipment
2011,,('000 tonnes),2.23,Screens monitors and equipment containing screens (..)
2011,,('000 tonnes),3.3,Temperature exchange equipment (Cooling and Freezing Equipment)
2011,,('000 tonnes),5.32,Small E-waste
2011,,('000 tonnes),0.31,of which lamps
2011,,('000 tonnes),4.13,of which small equipment
2011,,('000 tonnes),0.88,of which Small IT and telecommunication equipment
2012,,('000 tonnes),14.98,Total E-waste generated
2012,,('000 tonnes),3.72,Amount going to large equipment
2012,,('000 tonnes),2.3,Screens monitors and equipment containing screens (..)
2012,,('000 tonnes),3.47,Temperature exchange equipment (Cooling and Freezing Equipment)
2012,,('000 tonnes),5.48,Small E-waste
2012,,('000 tonnes),0.32,of which lamps
2012,,('000 tonnes),4.26,of which small equipment
2012,,('000 tonnes),0.91,of which Small IT and telecommunication equipment
2013,,('000 tonnes),15.56,Total E-waste generated
2013,,('000 tonnes),3.94,Amount going to large equipment
2013,,('000 tonnes),2.33,Screens monitors  and equipment containing screens (..)
2013,,('000 tonnes),3.64,Temperature exchange equipment (Cooling and Freezing Equipment)
2013,,('000 tonnes),5.64,Small E-waste
2013,,('000 tonnes),0.33,of which lamps
2013,,('000 tonnes),4.39,of which small equipment
2013,,('000 tonnes),0.93,of which: Small IT and telecommunication equipment
2014,,('000 tonnes),16.12,Total E-waste generated
2014,,('000 tonnes),4.17,Amount going to large equipment
2014,,('000 tonnes),2.33,Screens monitors  and equipment containing screens (..)
2014,,('000 tonnes),3.8,Temperature exchange equipment (Cooling and Freezing Equipment)
2014,,('000 tonnes),5.81,Small E-waste
2014,,('000 tonnes),0.33,of which lamps
2014,,('000 tonnes),4.54,of which small equipment
2014,,('000 tonnes),0.95,of which: Small IT and telecommunication equipment
2015,,('000 tonnes),16.67,Total E-waste generated
2015,,('000 tonnes),4.41,Amount going to large equipment
2015,,('000 tonnes),2.3,Screens monitors and equipment containing screens (..)
2015,,('000 tonnes),3.96,Temperature exchange equipment (Cooling and Freezing Equipment)
2015,,('000 tonnes),6.0,Small E-waste
2015,,('000 tonnes),0.33,of which lamps
2015,,('000 tonnes),4.7,of which small equipment
2015,,('000 tonnes),0.97,of which: Small IT and telecommunication equipment
2013,,(Million Tonnes),2937.2,Used lead acid batteries exported
2013,,(Million Tonnes),613.6,Lead sulphate exported
2013,,,0.0,Solid contaminated with polychlorinatedbiphenyl (PCB) exported
2013,,,0.0,Obsolete pesticide exported
2013,,(Million Tonnes),3550.8,Total exported
2014,,(Million Tonnes),1738.0,Used lead acid batteries exported
2014,,(Million Tonnes),0.0,Lead sulphate exported
2014,,(Million Tonnes),0.0,Lead sulphate exported
2014,,,0.0,Obsolete pesticide exported
2014,,(Million Tonnes),1738.0,Total exported
2015,,(Million Tonnes),2472.3,Used lead acid batteries exported
2015,,,0.0,Obsolete pesticide exported
2015,,,0.0,Solid contaminated with polychlorinatedbiphenyl (PCB) exported
2015,,,0.0,Obsolete pesticide exported
2015,,(Million Tonnes),2472.3,Total exported
2017,,(Million Tonnes),3288.1,Used lead acid batteries exported
2017,,(Million Tonnes),0.0,Lead sulphate exported
2017,,(Million Tonnes),126.9,Solid contaminated with polychlorinatedbiphenyl (PCB) exported
2017,,(Million Tonnes),80.0,Obsolete pesticide exported
2017,,(Million Tonnes),3495.0,Total exported
