Year,Type of Facility. Proteted Area,Unit,Value
2013,Coverage of protected areas in relation to marine areas,Jamaica,(%),15.1
1993,National Parks,Blue & John Crow Mountains,Land Area ( ha),78200
1999,Marine Parks,Ocho Rios coastline,Land Area ( ha),1350
1997,Environmental Protection Area,Negril,Land Area ( ha),25900
1998,Protected Area (NRCA Act),Palisadoes Port Royal,Land Area ( ha),800
1998,Protected Area (NRCA Act),Coral Spring or Mountain Spring,Land Area ( ha),163
1999,Protected Area (NRCA Act),Portland Bight,Land Area ( ha),55000
2002,Protected Area (NRCA Act),Mason River,Land Area ( ha),82
1997,Ramsaar Sites,Black River Lower Morass,Land Area ( ha),5700
2005,Ramsaar Sites,Palisadoes–Port Royal,Land Area ( ha),7523
2006,Ramsaar Sites,Portland Bight Wetlands & Cays,Land Area ( ha),24542
2011,Ramsaar Sites,Mason River,Land Area ( ha),82
1992,Marine Parks,Montego Bay,Marine Area (ha),1400
1998,Marine Parks,Negril,Marine Area (ha),18500
1997,Environmental Protection Area,Negril,Marine Area (ha),16000
1998,Protected Area (NRCA Act),Palisadoes Port Royal,Marine Area (ha),6000
1999,Protected Area (NRCA Act),Portland Bight,Marine Area (ha),142300
1966,Protected Area Beach Control Act,Ocho Rios Marine Park,Marine Area (ha),13385
1966,Protected Area Beach Control Act,Port Royal,Marine Area (ha),1000
