Year,Geographical Area,Sex,Age Group,Wealth Quintile,Type of Punishment,Value
2011,,Male,Psychological Aggression,,,74.1
2011,,Female,Psychological Aggression,,,69.5
2011,,Male,Any Physical Punishment,,,71.4
2011,,Female,Any Physical Punishment,,,65.2
2011,,Male,Severe Physical Punishment,,,6.7
2011,,Female,Severe Physical Punishment,,,4.7
2011,Jamaica,,,,Psychological Aggression,71.9
2011,Jamaica,,,,Any Physical Punishment,68.4
2011,Jamaica,,,,Severe Physical Punishment,5.7
2011,Kingston Metropolitan Area,,,,Psychological Aggression,70.7
2011,Kingston Metropolitan Area,,,,Any Physical Punishment,69.0
2011,Kingston Metropolitan Area,,,,Severe Physical Punishment,7.6
2011,Other Towns,,,,Psychological Aggression,70.0
2011,Other Towns,,,,Any Physical Punishment,62.8
2011,Other Towns,,,,Severe Physical Punishment,7.6
2011,Rural Areas,,,,Psychological Aggression,70.0
2011,Rural Areas,,,,Any Physical Punishment,62.8
2011,Rural Areas,,,,Severe Physical Punishment,7.6
2011,,,2-4 years,,Psychological Aggression,65.5
2011,,,2-4 years,,Any Physical Punishment,77.9
2011,,,2-4 years,,Severe Physical Punishment,1.6
2011,,,5-9 years,,Psychological Aggression,71.3
2011,,,5-9 years,,Any Physical Punishment,73.9
2011,,,5-9 years,,Severe Physical Punishment,6.5
2011,,,10-14 years,,Psychological Aggression,75.1
2011,,,10-14 years,,Any Physical Punishment,59.6
2011,,,10-14 years,,Severe Physical Punishment,6.8
2011,,,,Poorest,Psychological Aggression,76.4
2011,,,,Poorest,Any Physical Punishment,79.0
2011,,,,Poorest,Severe Physical Punishment,9.9
2011,,,,Second,Psychological Aggression,75.2
2011,,,,Second,Any Physical Punishment,72.2
2011,,,,Second,Severe Physical Punishment,6.0
2011,,,,Middle,Psychological Aggression,71.2
2011,,,,Middle,Any Physical Punishment,68.7
2011,,,,Middle,Severe Physical Punishment,3.7
2011,,,,Fourth,Psychological Aggression,69.3
2011,,,,Fourth,Any Physical Punishment,64.1
2011,,,,Fourth,Severe Physical Punishment,5.2
2011,,,,Richest,Psychological Aggression,64.2
2011,,,,Richest,Any Physical Punishment,51.9
2011,,,,Richest,Severe Physical Punishment,2.3
