Year,Indicator,Name,Value
2012,GDP (Current),(US$Mn),14790
2012,Remittance as a  proportion of GDP,13.8,undefined
2013,Remittance Inflows,(US$Mn),as a  proportion of GDP
2013,GDP (Current),(US$Mn),14183
2013,Remittance as a  proportion of GDP,14.6,undefined
2014,Remittance Inflows,(US$Mn),as a  proportion of GDP
2014,GDP (Current),(US$Mn),13852
2014,Remittance as a  proportion of GDP,15.6,undefined
2015,Remittance Inflows,(US$Mn),as a  proportion of GDP
2015,GDP (Current),(US$Mn),14137
2015,Remittance as a  proportion of GDP,15.7,undefined
2016,Remittance Inflows,(US$Mn),as a  proportion of GDP
2016,GDP (Current),(US$Mn),14074
2016,Remittance as a  proportion of GDP,16.3,undefined
2017,Remittance Inflows,(US$Mn),as a  proportion of GDP
2017,GDP (Current),(US$Mn),14809
2017,Remittance as a  proportion of GDP,15.6,undefined
2018,Remittance Inflows,(US$Mn),as a  proportion of GDP
2018,GDP (Current),(US$Mn),15728
2018,Remittance as a  proportion of GDP,14.9,undefined
2019,Remittance Inflows,(US$Mn),as a  proportion of GDP
2019,GDP (Current),(US$Mn),15857.8
2019,Remittance as a  proportion of GDP,15.2,undefined
2020,Remittance Inflows,(US$Mn),as a  proportion of GDP
2020,GDP (Current),(US$Mn),13835.6
2020,Remittance as a  proportion of GDP,21.0,undefined
2009,Remittance as a  proportion of GDP,14.8,
2009,Remittance as a  proportion of GDP,14.5,
2009,Remittance as a  proportion of GDP,14.1,
2009,Remittance as a  proportion of GDP,13.8,
2009,Remittance as a  proportion of GDP,14.6,
2009,Remittance as a  proportion of GDP,15.5,
2009,Remittance as a  proportion of GDP,15.7,
2009,Remittance as a  proportion of GDP,16.3,
2009,Remittance as a  proportion of GDP,15.6,
2009,Remittance as a  proportion of GDP,14.9,
