Year,Geographical Regions,Sex,Age Group,Value
2008,Jamaica,,,6.2
2008,Rural Areas,,,7.3
2008,GKMA,,,4.3
2008,Other Urban cenntre,,,5.6
2008,,Male,,7.3
2008,,Female,,5.0
2012,Jamaica,,,5.7
2012,Rural Areas,,,4.3
2012,GKMA,,,10.7
2012,Other Urban cenntre,,,2.9
2012,,Male,,5.5
2012,,Female,,5.9
2014,Jamaica,,,6.2
2014,Rural Areas,,,3.2
2014,GKMA,,,6.5
2014,Other Urban cenntre,,,11.3
2014,,Male,,5.6
2014,,Female,,5.1
2010,Jamaica,,,6.7
2010,Rural Areas,,,5.9
2010,GKMA,,,10.3
2010,Other Urban cenntre,,,3.7
2010,,Male,,7.5
2010,,Female,,5.9
2008,,,0-11 Months,5.3
2008,,,12-23 Months,13.9
2008,,,24-35 Months,4.2
2008,,,36-47 Months,2.2
2008,,,48-59 Months,4.3
2010,,,0-11 Months,13.9
2010,,,12-23 Months,2.4
2010,,,24-35 Months,7.9
2010,,,36-47 Months,3.9
2010,,,48-59 Months,5.0
2012,,,0-11 Months,4.2
2012,,,12-23 Months,9.5
2012,,,24-35 Months,4.2
2012,,,36-47 Months,4.5
2012,,,48-59 Months,5.3
2014,,,0-11 Months,2.3
2014,,,12-23 Months,10.0
2014,,,24-35 Months,10.4
2014,,,36-47 Months,3.2
2014,,,48-59 Months,4.6
2004,Jamaica,,,4.5
2004,Rural Areas,,,4.9
2004,KMA,,,4.8
2004,Other Towns,,,3.1
2004,,Male,,4.8
2004,,Female,,4.3
2004,,,0-11 Months,4.6
2004,,,12-23 Months,9.5
2004,,,24-35 Months,1.6
2004,,,36-47 Months,2.8
2004,,,48-59 Months,3.9
2006,Jamaica,,,7.0
2006,Rural Areas,,,7.5
2006,KMA,,,9.0
2006,Other Towns,,,2.1
2006,,Male,,5.7
2006,,Female,,8.3
2006,,,0-11 Months,10.0
2006,,,12-23 Months,13.3
2006,,,24-35 Months,1.7
2006,,,36-47 Months,3.6
2006,,,48-59 Months,6.7
2007,Jamaica,,,5.7
2007,Rural Areas,,,4.9
2007,KMA,,,7.8
2007,Other Towns,,,4.9
2007,,Male,,4.8
2007,,Female,,6.7
2007,,,0-11 Months,9.0
2007,,,12-23 Months,5.5
2007,,,24-35 Months,7.9
2007,,,36-47 Months,0.0
2007,,,48-59 Months,5.7
2008,Jamaica,,,6.2
2008,Rural Areas,,,7.3
2008,KMA,,,4.3
2008,Other Towns,,,5.6
2008,,Male,,7.3
2008,,Female,,5.0
2008,,,0-11 Months,5.3
2008,,,12-23 Months,13.9
2008,,,24-35 Months,4.2
2008,,,36-47 Months,2.2
2008,,,48-59 Months,4.3
2010,Jamaica,,,6.7
2010,Rural Areas,,,5.9
2010,KMA,,,10.3
2010,Other Towns,,,3.7
2010,,Male,,7.5
2010,,Female,,5.9
2010,,,0-11 Months,13.9
2010,,,12-23 Months,2.4
2010,,,24-35 Months,7.9
2010,,,36-47 Months,3.9
2010,,,48-59 Months,5.0
2012,Jamaica,,,5.7
2012,Rural Areas,,,4.3
2012,KMA,,,10.7
2012,Other Towns,,,2.9
2012,,Male,,5.5
2012,,Female,,5.9
2012,,,0-11 Months,4.2
2012,,,12-23 Months,9.5
2012,,,24-35 Months,4.2
2012,,,36-47 Months,4.5
2012,,,48-59 Months,5.3
2014,Jamaica,,,6.2
2014,Rural Areas,,,3.2
2014,KMA,,,6.5
2014,Other Towns,,,11.3
2014,,Male,,8.7
2014,,Female,,3.3
2014,,,0-11 Months,2.3
2014,,,12-23 Months,10.0
2014,,,24-35 Months,10.4
2014,,,36-47 Months,3.2
2014,,,48-59 Months,4.6
2016,Jamaica,,,7.9
2016,Rural Areas,,,7.4
2016,KMA,,,5.8
2016,Other Towns,,,9.3
2016,,Male,,8.5
2016,,Female,,7.3
2016,,,0-11 Months,7.4
2016,,,12-23 Months,9.4
2016,,,24-35 Months,12.8
2016,,,36-47 Months,5.8
2016,,,48-59 Months,5.1
