Year,Indicator,Geographical Area,Sex,Unit,Value
2019,Suicide rate,Jamaica,,per 100 000 population,2.12
2019,Suicide rate,Kingston & St Andrew,,per 100 000 population,2.11
2019,Suicide rate,St Thomas,,per 100 000 population,3.18
2019,Suicide rate,Portland,,per 100 000 population,1.23
2019,Suicide rate,St Mary,,per 100 000 population,2.61
2019,Suicide rate,St Ann,,per 100 000 population,3.39
2019,Suicide rate,Trelawny,,per 100 000 population,2.55
2019,Suicide rate,St James,,per 100 000 population,1.05
2019,Suicide rate,Hanover,,per 100 000 population,0.0
2019,Suicide rate,Westmoreland,,per 100 000 population,1.34
2019,Suicide rate,St Elizabeth,,per 100 000 population,1.97
2019,Suicide rate,Manchester,,per 100 000 population,4.7
2019,Suicide rate,Clarendon,,per 100 000 population,2.83
2019,Suicide rate,St Catherine,,per 100 000 population,1.15
2019,Suicide rate,,Male,per 100 000 population,3.77
2019,Suicide rate,,Female,per 100 000 population,0.51
2014,Suicide rate,Jamaica,,per 100 000 population,1.91
2014,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.8
2014,Suicide rate,St Thomas,,per 100 000 population,1.06
2014,Suicide rate,Portland,,per 100 000 population,3.64
2014,Suicide rate,St Mary,,per 100 000 population,0.87
2014,Suicide rate,St Ann,,per 100 000 population,4.03
2014,Suicide rate,Trelawny,,per 100 000 population,1.32
2014,Suicide rate,St James,,per 100 000 population,0.54
2014,Suicide rate,Hanover,,per 100 000 population,1.43
2014,Suicide rate,Westmoreland,,per 100 000 population,2.06
2014,Suicide rate,St Elizabeth,,per 100 000 population,1.98
2014,Suicide rate,Manchester,,per 100 000 population,3.66
2014,Suicide rate,Clarendon,,per 100 000 population,1.62
2014,Suicide rate,St Catherine,,per 100 000 population,1.54
2014,Suicide rate,,Male,per 100 000 population,3.62
2014,Suicide rate,,Female,per 100 000 population,0.58
2015,Suicide rate,Jamaica,,per 100 000 population,2.16
2015,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.79
2015,Suicide rate,St Thomas,,per 100 000 population,2.11
2015,Suicide rate,Portland,,per 100 000 population,4.8
2015,Suicide rate,St Mary,,per 100 000 population,1.74
2015,Suicide rate,St Ann,,per 100 000 population,3.45
2015,Suicide rate,Trelawny,,per 100 000 population,2.63
2015,Suicide rate,St James,,per 100 000 population,1.08
2015,Suicide rate,Hanover,,per 100 000 population,0.0
2015,Suicide rate,Westmoreland,,per 100 000 population,0.69
2015,Suicide rate,St Elizabeth,,per 100 000 population,3.29
2015,Suicide rate,Manchester,,per 100 000 population,4.69
2015,Suicide rate,Clarendon,,per 100 000 population,1.62
2015,Suicide rate,St Catherine,,per 100 000 population,1.92
2015,Suicide rate,,Male,per 100 000 population,3.78
2015,Suicide rate,,Female,per 100 000 population,0.58
2016,Suicide rate,Jamaica,,per 100 000 population,2.02
2016,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.34
2016,Suicide rate,St Thomas,,per 100 000 population,3.16
2016,Suicide rate,Portland,,per 100 000 population,2.42
2016,Suicide rate,St Mary,,per 100 000 population,2.61
2016,Suicide rate,St Ann,,per 100 000 population,2.87
2016,Suicide rate,Trelawny,,per 100 000 population,1.32
2016,Suicide rate,St James,,per 100 000 population,2.69
2016,Suicide rate,Hanover,,per 100 000 population,4.27
2016,Suicide rate,Westmoreland,,per 100 000 population,1.37
2016,Suicide rate,St Elizabeth,,per 100 000 population,3.95
2016,Suicide rate,Manchester,,per 100 000 population,1.56
2016,Suicide rate,Clarendon,,per 100 000 population,2.02
2016,Suicide rate,St Catherine,,per 100 000 population,1.53
2016,Suicide rate,,Male,per 100 000 population,3.7
2016,Suicide rate,,Female,per 100 000 population,0.36
2017,Suicide rate,Jamaica,,per 100 000 population,1.72
2017,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.64
2017,Suicide rate,St Thomas,,per 100 000 population,2.11
2017,Suicide rate,Portland,,per 100 000 population,1.21
2017,Suicide rate,St Mary,,per 100 000 population,2.61
2017,Suicide rate,St Ann,,per 100 000 population,2.87
2017,Suicide rate,Trelawny,,per 100 000 population,2.63
2017,Suicide rate,St James,,per 100 000 population,1.61
2017,Suicide rate,Hanover,,per 100 000 population,1.42
2017,Suicide rate,Westmoreland,,per 100 000 population,2.06
2017,Suicide rate,St Elizabeth,,per 100 000 population,1.97
2017,Suicide rate,Manchester,,per 100 000 population,2.6
2017,Suicide rate,Clarendon,,per 100 000 population,1.21
2017,Suicide rate,St Catherine,,per 100 000 population,0.96
2017,Suicide rate,,Male,per 100 000 population,3.11
2017,Suicide rate,,Female,per 100 000 population,0.36
2018,Suicide rate,Jamaica,,per 100 000 population,2.24
2018,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.04
2018,Suicide rate,St Thomas,,per 100 000 population,2.11
2018,Suicide rate,Portland,,per 100 000 population,2.42
2018,Suicide rate,St Mary,,per 100 000 population,1.74
2018,Suicide rate,St Ann,,per 100 000 population,5.74
2018,Suicide rate,Trelawny,,per 100 000 population,2.63
2018,Suicide rate,St James,,per 100 000 population,3.23
2018,Suicide rate,Hanover,,per 100 000 population,2.85
2018,Suicide rate,Westmoreland,,per 100 000 population,3.43
2018,Suicide rate,St Elizabeth,,per 100 000 population,3.29
2018,Suicide rate,Manchester,,per 100 000 population,3.13
2018,Suicide rate,Clarendon,,per 100 000 population,2.83
2018,Suicide rate,St Catherine,,per 100 000 population,0.96
2018,Suicide rate,,Male,per 100 000 population,4.15
2018,Suicide rate,,Female,per 100 000 population,0.36
