Year,Geographical Region,Form of Sexual Violence,Partner Status,Main Source of Income,Age at First Union,Value
2016,Jamaica,Forced Intercourse,Lifetime Partner,,,9.6
2016,Urban,Forced Intercourse,Lifetime Partner,,,9.4
2016,Rural,Forced Intercourse,Lifetime Partner,,,9.8
2016,Jamaica,Forced Intercourse,Current Partner,,,1.2
2016,Urban,Forced Intercourse,Current Partner,,,1.0
2016,Rural,Forced Intercourse,Current Partner,,,1.5
2016,Jamaica,Attempted Intercourse,Lifetime Partner,,,12.0
2016,Urban,Attempted Intercourse,Lifetime Partner,,,12.7
2016,Rural,Attempted Intercourse,Lifetime Partner,,,11.3
2016,Jamaica,Attempted Intercourse,Current Partner,,,1.0
2016,Urban,Attempted Intercourse,Current Partner,,,0.6
2016,Rural,Attempted Intercourse,Current Partner,,,1.5
2016,Jamaica,Unwanted Sexual Touching,Lifetime Partner,,,14.5
2016,Urban,Unwanted Sexual Touching,Lifetime Partner,,,13.7
2016,Rural,Unwanted Sexual Touching,Lifetime Partner,,,15.6
2016,Jamaica,Unwanted Sexual Touching,Current Partner,,,1.6
2016,Urban,Unwanted Sexual Touching,Current Partner,,,1.3
2016,Rural,Unwanted Sexual Touching,Current Partner,,,1.9
2016,Jamaica,Any Sexual Violence,Lifetime Partner,,,23.0
2016,Urban,Any Sexual Violence,Lifetime Partner,,,22.9
2016,Rural,Any Sexual Violence,Lifetime Partner,,,23.1
2016,Jamaica,Any Sexual Violence,Current Partner,,,2.9
2016,Urban,Any Sexual Violence,Current Partner,,,2.3
2016,Rural,Any Sexual Violence,Current Partner,,,3.7
2016,Jamaica,Non-partner Sexual Harassment,,,,24.1
2016,Urban,Non-partner Sexual Harassment,,,,24.5
2016,Rural,Non-partner Sexual Harassment,,,,23.5
2016,Jamaica,Current non-partner Transactional sex,,,,13.6
2016,Urban,Current non-partner Transactional sex,,,,13.6
2016,Rural,Current non-partner Transactional sex,,,,13.5
2016,Jamaica,None,,,,63.1
2016,Urban,None,,,,62.8
2016,Rural,None,,,,63.5
2016,Jamaica,Forced Intercourse,Lifetime Partner,Income from own work,,9.1
2016,Jamaica,Forced Intercourse,Lifetime Partner,Support from partner/husband,,9.5
2016,Jamaica,Forced Intercourse,Lifetime Partner,Support from relatives and friends,,8.9
2016,Jamaica,Forced Intercourse,Lifetime Partner,No income/pension/ social services/other,,18.6
2016,Jamaica,Forced Intercourse,Current Partner,Income from own work,,1.0
2016,Jamaica,Forced Intercourse,Current Partner,Support from partner/husband,,1.6
2016,Jamaica,Forced Intercourse,Current Partner,Support from relatives and friends,,0.6
2016,Jamaica,Forced Intercourse,Current Partner,No income/pension/ social services/other,,3.6
2016,Jamaica,Attempted Intercource,Lifetime Partner,Income from own work,,14.0
2016,Jamaica,Attempted Intercource,Lifetime Partner,Support from partner/husband,,10.0
2016,Jamaica,Attempted Intercource,Lifetime Partner,Support from relatives and friends,,10.9
2016,Jamaica,Attempted Intercource,Lifetime Partner,No income/pension/ social services/other,,18.7
2016,Jamaica,Attempted Intercource,Current Partner,Income from own work,,0.7
2016,Jamaica,Attempted Intercource,Current Partner,Support from partner/husband,,0.7
2016,Jamaica,Attempted Intercource,Current Partner,Support from relatives and friends,,1.6
2016,Jamaica,Attempted Intercource,Current Partner,No income/pension/ social services/other,,2.0
2016,Jamaica,Unwanted Sexual Touching,Lifetime Partner,Income from own work,,14.9
2016,Jamaica,Unwanted Sexual Touching,Lifetime Partner,Support  from partner/husband,,12.4
2016,Jamaica,Unwanted Sexual Touching,Lifetime Partner,Support  from relatives and friends,,15.4
