Year,Financial Institution,Unit,value,Value
2019,Number of commercial bank branches,per 100.000 adults,6.82,
2019,Number of automated teller machines (ATMs),per 100.000 adults,37.29,
2013,Number of commercial bank branches,per 100.000 adults,,5.47
2013,Number of automated teller machines (ATMs),per 100.000 adults,,28.37
2014,Number of commercial bank branches,per 100.000 adults,,5.02
2014,Number of automated teller machines (ATMs),per 100.000 adults,,31.27
2015,Number of commercial bank branches,per 100.000 adults,,5.06
2015,Number of automated teller machines (ATMs),per 100.000 adults,,31.65
2016,Number of commercial bank branches,per 100.000 adults,,5.03
2016,Number of automated teller machines (ATMs),per 100.000 adults,,33.14
2017,Number of commercial bank branches,per 100.000 adults,,6.45
2017,Number of automated teller machines (ATMs),per 100.000 adults,,34.8
2018,Number of commercial bank branches,per 100.000 adults,,6.22
2018,Number of automated teller machines (ATMs),per 100.000 adults,,35.67
