Year,Monitored Area,Unit,Value
2014,Blue Lagoon (Portland),(Health Index),2.3
2014,Monkey Island,(Health Index),n.a.
2014,Oracabessa Bay Special Fishery Conservation Area,(Health Index),2.2
2014,Sandals Boscobel Special Fishery Conservation Area,(Health Index),2.7
2014,Ocho Rios Marine Park,(Health Index),2.2
2014,Discovery Bay,(Health Index),1.7
2014,Falmouth,(Health Index),2.3
2014,Montego Bay Marine Park,(Health Index),2.3
2014,Hopewell - Green Island (Hanover),(Health Index),2.3
2014,Negril Marine Park,(Health Index),2.2
2014,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),1.8
2014,Port Royal Protected Area,(Health Index),1.3
2014,Belmont,(Health Index),n.a.
2014,Savanna-la-mar,(Health Index),n.a.
2014,Portland Bight Protected Area,(Health Index),n.a.
2014,CRHI (overall mean),(Health Index),2.1
2015,Blue Lagoon (Portland),(Health Index),2.3
2015,Monkey Island,(Health Index),n.a.
2015,Oracabessa Bay Special Fishery Conservation Area,(Health Index),1.9
2015,Sandals Boscobel Special Fishery Conservation Area,(Health Index),2.5
2015,Ocho Rios Marine Park,(Health Index),2.4
2015,Discovery Bay,(Health Index),2.2
2015,Falmouth,(Health Index),2.1
2015,Montego Bay Marine Park,(Health Index),2.3
2015,Hopewell - Green Island (Hanover),(Health Index),3.0
2015,Negril Marine Park,(Health Index),2.3
2015,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),2.3
2015,Port Royal Protected Area,(Health Index),2.1
2015,Belmont,(Health Index),2.5
2015,Savanna-la-mar,(Health Index),2.3
2015,Portland Bight Protected Area,(Health Index),2.0
2015,CRHI (overall mean),(Health Index),2.2
2017,Blue Lagoon (Portland),(Health Index),n.a.
2017,Monkey Island,(Health Index),n.a.
2017,Oracabessa Bay Special Fishery Conservation Area,(Health Index),1.9
2017,Sandals Boscobel Special Fishery Conservation Area,(Health Index),3.1
2017,Ocho Rios Marine Park,(Health Index),2.4
2017,Discovery Bay,(Health Index),2.1
2017,Falmouth,(Health Index),2.4
2017,Montego Bay Marine Park,(Health Index),2.3
2017,Hopewell - Green Island (Hanover),(Health Index),3.8
2017,Negril Marine Park,(Health Index),2.2
2017,Sandals Whitehouse Special Fishery Conservation Area,(Health Index),1.8
2017,Port Royal Protected Area,(Health Index),1.8
2017,Belmont,(Health Index),2.0
2017,Savanna-la-mar,(Health Index),1.5
2017,Portland Bight Protected Area,(Health Index),2.0
2017,CRHI (overall mean),(Health Index),2.3
2018,Blue Lagoon (Portland),(Health Index),n.a.
2018,Monkey Island,(Health Index),2.5
2018,Oracabessa Bay Special Fishery Conservation Area,(Health Index),2.4
2018,Sandals Boscobel Special Fishery Conservation Area,(Health Index),2.8
2018,Ocho Rios Marine Park,(Health Index),2.3
2018,Discovery Bay,(Health Index),2.1
