Year,Geographical Regions,Sex,Age Group,Value
2008,Jamaica,,,3.1
2008,Rural Areas,,,2.8
2008,GKMA,,,2.2
2008,Other Urban Centres,,,4.6
2008,,Male,,3.1
2008,,Female,,3.1
2008,,,0-11 Months,3.3
2008,,,12-23 Months,6.1
2008,,,24-23 Months,3.3
2008,,,36-47 Months,0.5
2008,,,48-59 Months,1.7
2010,Jamaica,,,6.7
2010,Rural Areas,,,4.9
2010,GKMA,,,9.6
2010,Other Urban Centres,,,7.1
2010,,Male,,7.4
2010,,Female,,6.0
2010,,,0-11 Months,5.3
2010,,,12-23 Months,13.5
2010,,,24-23 Months,6.6
2010,,,36-47 Months,4.6
2010,,,48-59 Months,4.2
2012,Jamaica,,,3.0
2012,Rural Areas,,,2.9
2012,GKMA,,,2.7
2012,Other Urban Centres,,,3.5
2012,,Male,,3.0
2012,,Female,,2.9
2012,,,0-11 Months,8.0
2012,,,12-23 Months,6.0
2012,,,24-23 Months,8.0
2012,,,36-47 Months,2.9
2012,,,48-59 Months,3.5
2014,Jamaica,,,3.6
2014,Rural Areas,,,1.9
2014,GKMA,,,5.3
2014,Other Urban Centres,,,4.9
2014,,Male,,3.5
2014,,Female,,3.7
2014,,,0-11 Months,4.6
2014,,,12-23 Months,2.1
2014,,,24-23 Months,2.0
2014,,,36-47 Months,3.1
2014,,,48-59 Months,6.3
2004,Jamaica,,,5.0
2004,Rural Areas,,,5.1
2004,KMA,,,6.6
2004,Others Towns,,,2.4
2004,,Male,,4.4
2004,,Female,,5.6
2004,,,0-11 Months,4.9
2004,,,12-23 Months,11.1
2004,,,24-23 Months,2.4
2004,,,36-47 Months,3.3
2004,,,48-59 Months,3.2
2006,Jamaica,,,4.6
2006,Rural Areas,,,5.7
2006,KMA,,,5.5
2006,Others Towns,,,0.0
2006,,Male,,4.6
2006,,Female,,4.6
2006,,,0-11 Months,1.7
2006,,,12-23 Months,6.1
2006,,,24-23 Months,5.1
2006,,,36-47 Months,7.1
2006,,,48-59 Months,2.9
2007,Jamaica,,,2.7
2007,Rural Areas,,,1.6
2007,KMA,,,4.6
2007,Others Towns,,,4.0
2007,,Male,,2.6
2007,,Female,,2.9
2007,,,0-11 Months,4.4
2007,,,12-23 Months,2.4
2007,,,24-23 Months,1.6
2007,,,36-47 Months,1.6
2007,,,48-59 Months,3.7
2008,Jamaica,,,3.1
2008,Rural Areas,,,2.8
2008,KMA,,,2.2
2008,Others Towns,,,4.6
2008,,Male,,3.1
2008,,Female,,3.1
2008,,,0-11 Months,3.3
2008,,,12-23 Months,6.1
2008,,,24-23 Months,3.3
2008,,,36-47 Months,0.5
2008,,,48-59 Months,1.7
2010,Jamaica,,,6.7
2010,Rural Areas,,,4.9
2010,KMA,,,9.6
2010,Others Towns,,,7.1
2010,,Male,,7.4
2010,,Female,,6.0
2010,,,0-11 Months,5.3
2010,,,12-23 Months,13.5
2010,,,24-23 Months,6.6
2010,,,36-47 Months,4.6
2010,,,48-59 Months,4.2
2012,Jamaica,,,3.0
2012,Rural Areas,,,2.9
2012,KMA,,,2.7
2012,Others Towns,,,3.5
2012,,Male,,3.0
2012,,Female,,2.9
2012,,,0-11 Months,8.0
2012,,,12-23 Months,6.0
2012,,,24-23 Months,8.0
2012,,,36-47 Months,2.9
2012,,,48-59 Months,3.5
2014,Jamaica,,,3.6
2014,Rural Areas,,,1.9
2014,KMA,,,5.3
2014,Others Towns,,,4.9
2014,,Male,,3.5
2014,,Female,,3.7
2014,,,0-11 Months,4.6
2014,,,12-23 Months,2.1
2014,,,24-23 Months,2.0
2014,,,36-47 Months,3.1
2014,,,48-59 Months,6.3
2016,Jamaica,,,3.2
2016,Rural Areas,,,4.2
2016,KMA,,,2.7
2016,Others Towns,,,1.9
2016,,Male,,3.6
2016,,Female,,2.7
2016,,,0-11 Months,3.2
2016,,,12-23 Months,2.4
2016,,,24-23 Months,5.8
2016,,,36-47 Months,3.9
2016,,,48-59 Months,1.0
