Year,Name of Test,Descriptor,Geographical Region,Sex,Value
2019,Grade 4 PEP Literacy Test,Proportion of students achieving mastery,Jamaica,,83.1
2019,Grade 4 PEP Literacy Test,Proportion of students achieving mastery,,Male,76.7
2019,Grade 4 PEP Literacy Test,Proportion of students achieving mastery,,Female,89.7
2019,Grade 4 PEP Numeracy Test,Proportion of students achieving mastery,Jamaica,,74.3
2019,Grade 4 PEP Numeracy Test,Proportion of students achieving mastery,,Male,67.7
2019,Grade 4 PEP Numeracy Test,Proportion of students achieving mastery,,Female,81.1
2019,Grade 4 PEP Literacy Test,Proportion of students achieving mastery,Jamaica,,83.1
2019,Grade 4 PEP Literacy Test,Proportion of students achieving mastery,,Male,76.7
2019,Grade 4 PEP Literacy Test,Proportion of students achieving mastery,,Female,89.7
2019,Grade 4 PEP Numeracy Test,Proportion of students achieving mastery,Jamaica,,74.3
2019,Grade 4 PEP Numeracy Test,Proportion of students achieving mastery,,Male,67.7
2019,Grade 4 PEP Numeracy Test,Proportion of students achieving mastery,,Female,81.1
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Developing Level,Jamaica,,51.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Developing Level,Male,,55.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Developing Level,Female,,47.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Proficient Level,Jamaica,,34.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Proficient Level,Male,,28.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Proficient Level,Female,,40.9
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Highly Proficient Level,Jamaica,,6.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Highly Proficient Level,Male,,5.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students at Highly Proficient Level,Female,,7.7
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students at Developing Level,Jamaica,,35.9
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students at Developing Level,Male,,41.5
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students at Developing Level,Female,,30.0
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students at Proficient Level,Jamaica,,46.2
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students at Proficient Level,Male,,38.4
