Year,Geographical Region,Value
2010,Jamaica,83.7
2010,Rural,72.5
2010,KMA,94.3
2010,Other Towns,87.9
2012,Jamaica,79.8
2012,Rural,71.3
2012,KMA,90.5
2012,Other Towns,83.3
2013,Jamaica,83.8
2013,Rural,75.4
2013,KMA,94.2
2013,Other Towns,87.3
2014,Jamaica,81.1
2014,Rural,73.0
2014,KMA,89.9
2014,Other Towns,85.1
2015,Jamaica,83.0
2015,Rural,75.6
2015,KMA,92.0
2015,Other Towns,86.3
2016,Jamaica,84.5
2016,Rural,80.7
2016,KMA,91.0
2016,Other Towns,84.4
2017,Jamaica,86.1
2017,Rural,83.1
2017,KMA,92.6
2017,Other Towns,83.9
