Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2016,Population covered by PATH,Jamaica,,%,13.4
2016,Population covered by PATH,,Children,%,30.9
2016,Population covered by PATH,,Adult,%,0.9
2016,Population covered by PATH,,Elderly,%,21.1
2016,Population covered by PATH,,Pregnant and Lactating Women,%,0.20
2017,Population covered by PATH,Jamaica,,%,12.7
2017,Population covered by PATH,,Children,%,30.3
2017,Population covered by PATH,,Adult,%,0.3
2017,Population covered by PATH,,Elderly,%,20.8
2017,Population covered by PATH,,Pregnant and Lactating Women,%,0.20
2018,Population covered by PATH,Jamaica,,%,12.5
2018,Population covered by PATH,,Children,%,28.9
2018,Population covered by PATH,,Adult,%,0.7
2018,Population covered by PATH,,Elderly,%,21.9
2018,Population covered by PATH,,Pregnant and Lactating Women,%,0.13
2019,Persons Registered with the National Insurance Scheme,Jamaica,,%,62.8
2019,Persons Registered with the National Insurance Scheme,GKMA,,%,64.0
2019,Persons Registered with the National Insurance Scheme,OUC,,%,74.4
2019,Persons Registered with the National Insurance Scheme,Rural,,%,55.9
2019,Persons Registered with the National Insurance Scheme,,Male,%,62.1
2019,Persons Registered with the National Insurance Scheme,,Female,%,63.4
2016,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,%,15.7
2016,Registered with Jamaica Drugs for the Elderly Programme,GKMA,,%,27.5
2016,Registered with Jamaica Drugs for the Elderly Programme,OUC,,%,11.4
2016,Registered with Jamaica Drugs for the Elderly Programme,Rural,,%,12.1
2016,Registered with Jamaica Drugs for the Elderly Programme,,Male,%,10.3
2016,Registered with Jamaica Drugs for the Elderly Programme,,Female,%,20.8
2016,Registered with the National Health Fund,Jamaica,,%,10.2
2016,Registered with the National Health Fund,GKMA,,%,10.0
2016,Registered with the National Health Fund,OUC,,%,10.8
2016,Registered with the National Health Fund,Rural,,%,10.1
2016,Registered with the National Health Fund,,Male,%,7.0
2016,Registered with the National Health Fund,,Female,%,13.3
2017,Registered with the National Health Fund,Jamaica,,%,12.4
2017,Registered with the National Health Fund,GKMA,,%,12.6
2017,Registered with the National Health Fund,OUC,,%,12.8
2017,Registered with the National Health Fund,Rural,,%,12.1
2017,Registered with the National Health Fund,,Male,%,9.1
2017,Registered with the National Health Fund,,Female,%,15.6
2018,Registered with the National Health Fund,Jamaica,,%,15.6
2018,Registered with the National Health Fund,GKMA,,%,15.1
2018,Registered with the National Health Fund,OUC,,%,16.1
2018,Registered with the National Health Fund,Rural,,%,15.6
2018,Registered with the National Health Fund,,Male,%,12.2
2018,Registered with the National Health Fund,,Female,%,18.9
2019,Registered with the National Health Fund,Jamaica,,%,15.4
2019,Registered with the National Health Fund,GKMA,,%,15.3
2019,Registered with the National Health Fund,OUC,,%,14.9
2019,Registered with the National Health Fund,Rural,,%,15.7
2019,Registered with the National Health Fund,,Male,%,10.1
2019,Registered with the National Health Fund,,Female,%,20.3
2018,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,%,17.4
2018,Registered with Jamaica Drugs for the Elderly Programme,GKMA,,%,26.3
2018,Registered with Jamaica Drugs for the Elderly Programme,OUC,,%,17.6
2018,Registered with Jamaica Drugs for the Elderly Programme,Rural,,%,13.0
2018,Registered with Jamaica Drugs for the Elderly Programme,,Male,%,13.2
2018,Registered with Jamaica Drugs for the Elderly Programme,,Female,%,21.3
2017,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,%,17.2
2017,Registered with Jamaica Drugs for the Elderly Programme,GKMA,,%,29.0
2017,Registered with Jamaica Drugs for the Elderly Programme,OUC,,%,17.8
2017,Registered with Jamaica Drugs for the Elderly Programme,Rural,,%,11.0
2017,Registered with Jamaica Drugs for the Elderly Programme,,Male,%,13.9
2017,Registered with Jamaica Drugs for the Elderly Programme,,Female,%,20.3
2019,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,%,18.1
