Year,GDP (Tourism),Value
2019,Growth rate of Tourism direct GDP,11.0
2014,Tourism direct GDP as a proportion of total GDP,7.5
2014,Growth rate of Tourism direct GDP,16.4
2015,Tourism direct GDP as a proportion of total GDP,7.8
2015,Growth rate of Tourism direct GDP,12.2
2016,Tourism direct GDP as a proportion of total GDP,8.4
2016,Growth rate of Tourism direct GDP,14.1
2017,Tourism direct GDP as a proportion of total GDP,9.1
2017,Growth rate of Tourism direct GDP,16.2
2018,Tourism direct GDP as a proportion of total GDP,9.2
2018,Growth rate of Tourism direct GDP,8.7
