Year,Type of Mineral,Unit,Value
2019,Bauxite,(Tonnes),9017
2019,Alumina,(Tonnes),2173
2019,Silica Sand,(Tonnes),25
2019,Limestone,(Tonnes),2379
2019,Sand and Gravel,(Tonnes),
2019,Marl and Fill,(Tonnes),637
2019,Shale,(Tonnes),217
2019,Pozzolan,(Tonnes),80
2019,Clay,(Tonnes),0
2019,Gypsum,(Tonnes),55
2020,Bauxite,(Tonnes),7552
2020,Alumina,(Tonnes),1621
2020,Silica Sand,(Tonnes),29
2020,Limestone,(Tonnes),2592
2020,Sand and Gravel,(Tonnes),1365
2020,Marl and Fill,(Tonnes),661
2020,Shale,(Tonnes),167
2020,Pozzolan,(Tonnes),102
2020,Clay,(Tonnes),0
2020,Gypsum,(Tonnes),66
2019,Steam & Slow Speed Plants,('000 Mwh),1229.4
2019,Gas Turbines & Combined Cycle Plant,('000 Mwh),1054.9
2019,Hydro,('000 Mwh),155.2
2019,Purchase from Independent Power Producers (IIPs) ('000 Mwh),1990.3,undefined
2019,Total,('000 Mwh),4429.8
2019,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),55.1
2019,Percentage Contribution of IIPs,(%),44.9
2019,Lossess & Accounted for,('000 MWh),1156.5
2019,System losses as a percentage of net generation,(%),26.0
2020,Steam & Slow Speed Plants,('000 Mwh),459.7
2020,Gas Turbines & Combined Cycle Plant,('000 Mwh),800.2
2020,Hydro,('000 Mwh),135.6
2020,Purchase from Independent Power Producers (IIPs),'000 Mwh),2831.9
2020,Total,('000 Mwh),4227.4
2020,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),33.0
2020,Percentage Contribution of IIPs,(%),67.0
2020,Lossess & Accounted for,('000 MWh),1135.9
2020,System losses as a percentage of net generation,(%),27.0
2014,Bauxite,(Tonnes),9677.0
2014,Alumina,(Tonnes),1851.0
2014,Silica Sand,(Tonnes),16.0
2014,Limestone,(Tonnes),2138.0
2014,Sand and Gravel,(Tonnes),2118.0
2014,Marl and Fill,(Tonnes),10320.0
2014,Shale,(Tonnes),308.0
2014,Pozzolan,(Tonnes),129.0
