Year,Event,Units,Value
2002,May/June Flood Rains,Persons Affected Per 100.000 Population,50021.0
2002,May/June Flood Rains,Persons Dead per 100.000 population,0.344
2002,May/June Flood Rains,Persons Injured per 100.000 population,0.0
2002,May/June Flood Rains,Persons Missing per 100.000 population,0.0
2004,Hurricane Ivan,Persons Affected Per 100.000 Population,14009.0
2004,Hurricane Ivan,Persons Dead per 100.000 population,0.644
2004,Hurricane Ivan,Persons Injured per 100.000 population,0.0
2004,Hurricane Ivan,Persons Missing per 100.000 population,0.0
2005,Hurricane Dennis and Emily,Persons Affected Per 100.000 Population,12521.0
2005,Hurricane Dennis and Emily,Persons Dead per 100.000 population,0.264
2005,Hurricane Dennis and Emily,Persons Injured per 100.000 population,0.0
2005,Hurricane Dennis and Emily,Persons Missing per 100.000 population,0.0
2005,Hurricane Wilma,Persons Affected Per 100.000 Population,13669.0
2005,Hurricane Wilma,Persons Dead per 100.000 population,0.113
2005,Hurricane Wilma,Persons Injured per 100.000 population,0.0
2005,Hurricane Wilma,Persons Missing per 100.000 population,0.0
2007,Hurricane Dean,Persons Affected Per 100.000 Population,6744.0
2007,Hurricane Dean,Persons Dead per 100.000 population,0.225
2007,Hurricane Dean,Persons Injured per 100.000 population,0.0
2007,Hurricane Dean,Persons Missing per 100.000 population,0.0
2008,Tropical Storm Gustav,Persons Affected Per 100.000 Population,16842.0
2008,Tropical Storm Gustav,Persons Dead per 100.000 population,0.374
2008,Tropical Storm Gustav,Persons Injured per 100.000 population,0.0
2008,Tropical Storm Gustav,Persons Missing per 100.000 population,0.0
2010,Tropical Storm Nicole,Persons Affected Per 100.000 Population,18873.0
2010,Tropical Storm Nicole,Persons Dead per 100.000 population,0.52
2010,Tropical Storm Nicole,Persons Injured per 100.000 population,0.0
2010,Tropical Storm Nicole,Persons Missing per 100.000 population,0.074
2012,Hurricane Sandy,Persons Affected Per 100.000 Population,25150.0
2012,Hurricane Sandy,Persons Dead per 100.000 population,0.074
2012,Hurricane Sandy,Persons Injured per 100.000 population,0.0
2012,Hurricane Sandy,Persons Missing per 100.000 population,0.0
2017,March to June Rains,Persons Affected Per 100.000 Population,90613.0
2017,March to June Rains,Persons Dead per 100.000 population,0.037
2017,March to June Rains,Persons Injured per 100.000 population,0.0
2017,March to June Rains,Persons Missing per 100.000 population,0.0
