Year,Subject,Sex,Parish,Value
2018,English A Only,Female,,5038
2018,English A Only,Male,,2740
2018,English A Only,,Jamaica,7778
2018,English A Only,,Kingston,495
2018,English A Only,,St  Andrew,1368
2018,English A Only,,St  Thomas,245
2018,English A Only,Portland,268,undefined
2018,English A Only,,St  Mary,436
2018,English A Only,,St  Ann,534
2018,English A Only,,Trelawny,230
2018,English A Only,,St  James,446
2018,English A Only,,Hanover,271
2018,English A Only,,Westmoreland,320
2018,English A Only,,St  Elizabeth,511
2018,English A Only,,Manchester,503
2018,English A Only,,Clarendon,713
2018,English A Only,,St  Catherine,1438
2018,Mathematics Only,Female,,1206
2018,Mathematics Only,Male,,1266
2018,Mathematics Only,,Jamaica,2472
2018,Mathematics Only,,Kingston,256
2018,Mathematics Only,,St  Andrew,601
2018,Mathematics Only,,St  Thomas,82
2018,Mathematics Only,Portland,51,undefined
2018,Mathematics Only,,St  Mary,149
2018,Mathematics Only,,St  Ann,133
2018,Mathematics Only,,Trelawny,26
2018,Mathematics Only,,St  James,107
2018,Mathematics Only,,Hanover,54
2018,Mathematics Only,,Westmoreland,101
2018,Mathematics Only,,St  Elizabeth,134
2018,Mathematics Only,,Manchester,85
2018,Mathematics Only,,Clarendon,200
2018,Mathematics Only,,St  Catherine,493
2018,English A and Mathematics,Female,,6421
2018,English A and Mathematics,Male,,3952
2018,English A and Mathematics,,Jamaica,10373
2018,English A and Mathematics,,Kingston,1117
2018,English A and Mathematics,,St  Andrew,2505
2018,English A and Mathematics,,St  Thomas,217
2018,English A and Mathematics,Portland,232,undefined
2018,English A and Mathematics,,St  Mary,326
2018,English A and Mathematics,,St  Ann,466
2018,English A and Mathematics,,Trelawny,372
2018,English A and Mathematics,,St  James,939
2018,English A and Mathematics,,Hanover,172
2018,English A and Mathematics,,Westmoreland,421
2018,English A and Mathematics,,St  Elizabeth,511
2018,English A and Mathematics,,Manchester,730
2018,English A and Mathematics,,Clarendon,1173
2018,English A and Mathematics,,St  Catherine,1192
2018,English A and/or Mathematics,Female,,12665
2018,English A and/or Mathematics,Male,,7958
2018,English A and/or Mathematics,,Jamaica,20623
2018,English A and/or Mathematics,,Kingston,1868
2018,English A and/or Mathematics,,St  Andrew,4474
2018,English A and/or Mathematics,,St  Thomas,544
