Year,Geographical Region,Value
2018,Jamaica,94.9
2018,Rural,92.2
2018,GKMA,98.5
2018,Other Urban centre,96.0
2019,Jamaica,95.5
2019,Rural,92.7
2019,GKMA,99.1
2019,Other Urban centre,95.7
2019,Jamaica,87.3
2019,Rural,81.6
2019,GKMA,94.9
2019,Other Urban Centre,87.5
2010,Jamaica,92.2
2010,Rural,88.1
2010,KMA,98.3
2010,Other Towns,93.7
2012,Jamaica,93.1
2012,Rural,89.6
2012,KMA,97.5
2012,Other Towns,94.6
2013,Jamaica,93.9
2013,Rural,90.5
2013,KMA,98.1
2013,Other Towns,95.3
2014,Jamaica,93.3
2014,Rural,88.5
2014,KMA,98.8
2014,Other Towns,95.0
2015,Jamaica,94.9
2015,Rural,91.0
2015,KMA,99.4
2015,Other Towns,96.8
2016,Jamaica,93.9
2016,Rural,90.5
2016,KMA,98.1
2016,Other Towns,95.3
2017,Jamaica,93.5
2017,Rural,91.0
2017,KMA,98.0
2017,Other Towns,92.8
