Year,Type of Waste Collected,Unit,Value
2019,Beverage bottles (plastic),(%),33
2019,Other,(%),20
2019,Bottle caps (plastic),(%),11
2019,Plastic pieces (tiny trash),(%),7
2019,Other plastic bags,(%),5
2019,Foam pieces (tiny trash),(%),8
2019,Beverage bottles (glass),(%),3
2019,Cup plate (plastic),(%),3
2019,Food wrappers (candy chips etc.),(%),3
2019,Cups plates (foam),(%),3
2019,Take out/away containers (foam),(%),2
2019,Forks knives and spoons,(%),3
2016,Beverage bottles (plastic),(%),32
2016,Other,(%),25
2016,Bottle caps (plastic),(%),11
2016,Plastic pieces (tiny trash),(%),6
2016,Other plastic bags,(%),5
2016,Foam pieces (tiny trash),(%),4
2016,Beverage bottles (glass),(%),4
2016,Cup plate (plastic),(%),4
2016,Food wrappers (candy chips etc.),(%),3
2016,Cups plates (foam),(%),3
2016,Take out/away containers (foam),(%),3
2016,Forks knives and spoons,(%),0
2017,Beverage bottles (plastic),(%),41
2017,Other,(%),21
2017,Bottle caps (plastic),(%),10
2017,Plastic pieces (tiny trash),(%),5
2017,Other plastic bags,(%),3
2017,Foam pieces (tiny trash),(%),6
2017,Beverage bottles (glass),(%),3
2017,Cup plate (plastic),(%),3
2017,Food wrappers (candy chips),(%),3
2017,Cups plates (foam),(%),3
2017,Take out/away containers (foam),(%),0
2017,Forks knives and spoons,(%),2
2018,Beverage bottles (plastic),(%),50
2018,Other,(%),0
2018,Bottle caps (plastic),(%),2
2018,Plastic pieces (tiny trash),(%),7
2018,Other plastic bags,(%),6
2018,Foam pieces (tiny trash),(%),8
2018,Beverage bottles (glass),(%),5
2018,Cup plate (plastic),(%),5
2018,Food wrappers (candy chips etc.),(%),6
2018,Cups plates (foam),(%),6
2018,Take out/away containers (foam),(%),5
2018,Forks knives and spoons,(%),0
