Year,Type of Facility. Proteted Area,Unit,Value
Coverage of protected areas in relation to marine areas,Jamaica,(%),15.1
National Parks,Blue & John Crow Mountains,Land Area ( ha),78200.0
Marine Parks,Ocho Rios coastline,Land Area ( ha),1350.0
Environmental Protection Area,Negril,Land Area ( ha),25900.0
Protected Area (NRCA Act),Palisadoes Port Royal,Land Area ( ha),800.0
Protected Area (NRCA Act),Coral Spring or Mountain Spring,Land Area ( ha),163.0
Protected Area (NRCA Act),Portland Bight,Land Area ( ha),55000.0
Protected Area (NRCA Act),Mason River,Land Area ( ha),82.0
Ramsaar Sites,Black River Lower Morass,Land Area ( ha),5700.0
Ramsaar Sites,Palisadoes–Port Royal,Land Area ( ha),7523.0
Ramsaar Sites,Portland Bight Wetlands & Cays,Land Area ( ha),24542.0
Ramsaar Sites,Mason River,Land Area ( ha),82.0
Marine Parks,Montego Bay,Marine Area (ha),1400.0
Marine Parks,Negril,Marine Area (ha),18500.0
Environmental Protection Area,Negril,Marine Area (ha),16000.0
Protected Area (NRCA Act),Palisadoes Port Royal,Marine Area (ha),6000.0
Protected Area (NRCA Act),Portland Bight,Marine Area (ha),142300.0
Protected Area Beach Control Act,Ocho Rios Marine Park,Marine Area (ha),13385.0
Protected Area Beach Control Act,Port Royal,Marine Area (ha),1000.0
