Year,Geographical Regions,Value
2013,Jamaica,10.4
2013,Rural Areas,14.1
2013,GKMA,5.8
2013,Other Urban Centre,8.7
2014,Jamaica,8.0
2014,Rural Areas,11.1
2014,GKMA,6.4
2014,Other Urban Centre,3.8
2015,Jamaica,6.9
2015,Rural Areas,10.7
2015,GKMA,2.8
2015,Other Urban Centre,4.3
2016,Jamaica,5.3
2016,Rural Areas,6.3
2016,GKMA,2.6
2016,Other Urban Centre,6.4
2019,Jamaica,4.0
2019,Rural Areas,6.7
2019,GKMA,0.4
2019,Other Urban Centre,3.5
2008,Jamaica,3.1
2008,Rural Areas,4.9
2008,KMA,0.8
2008,Other Towns,2.8
2009,Jamaica,4.9
2009,Rural Areas,8.1
2009,KMA,2.8
2009,Other Towns,1.5
2010,Jamaica,6.3
2010,Rural Areas,10.2
2010,KMA,3.7
2010,Other Towns,2.5
2012,Jamaica,7.5
2012,Rural Areas,8.9
2012,KMA,7.1
2012,Other Towns,4.6
2013,Jamaica,10.4
2013,Rural Areas,14.1
2013,KMA,5.8
2013,Other Towns,8.7
2014,Jamaica,8.0
2014,Rural Areas,11.1
2014,KMA,6.4
2014,Other Towns,3.8
2015,Jamaica,6.9
2015,Rural Areas,10.7
2015,KMA,2.8
2015,Other Towns,4.3
2016,Jamaica,5.3
2016,Rural Areas,6.3
2016,KMA,2.6
2016,Other Towns,6.4
2017,Jamaica,5.2
2017,Rural Areas,5.3
2017,KMA,5.2
2017,Other Towns,5.1
