Year,Form of Violence,Partner Status,Geographical Region,Group,Age Group,Educational Status,Age at First Union,Value
2016,Economic Violence,Lifetime intimate Partner,Urban,,,,,7.9
2016,Emotional Violence,Lifetime intimate Partner,Urban,,,,,28.3
2016,Physical Violence,Lifetime intimate Partner,Urban,,,,,25.0
2016,Sexual Violence,Lifetime intimate Partner,Urban,,,,,8.6
2016,Physical and or sexual Violence,Lifetime intimate Partner,Urban,,,,,28.1
2016,Economic Violence,Lifetime intimate Partner,Rural,,,,,9.3
2016,Emotional Violence,Lifetime intimate Partner,Rural,,,,,29.4
2016,Physical Violence,Lifetime intimate Partner,Rural,,,,,25.4
2016,Sexual Violence,Lifetime intimate Partner,Rural,,,,,6.5
2016,Physical and or sexual Violence,Lifetime intimate Partner,Rural,,,,,27.5
2016,Economic Violence,Lifetime intimate Partner,,All Ever-partnered,,,,8.5
2016,Emotional Violence,Lifetime intimate Partner,,All Ever-partnered,,,,28.8
2016,Physical Violence,Lifetime intimate Partner,,All Ever-partnered,,,,25.2
2016,Sexual Violence,Lifetime intimate Partner,,All Ever-partnered,,,,7.7
2016,Physical and or sexual Violence,Lifetime intimate Partner,,All Ever-partnered,,,,27.8
2016,Emotional Violence,Current Intimate Partner,Urban,,,,,12.0
2016,Physical Violence,Current Intimate Partner,Urban,,,,,6.2
2016,Sexual Violence,Current Intimate Partner,Urban,,,,,2.1
2016,Physical and or sexual Violence,Current Intimate Partner,Urban,,,,,7.5
2016,Emotional Violence,Current Intimate Partner,Rural,,,,,10.0
2016,Physical Violence,Current Intimate Partner,Rural,,,,,5.4
2016,Sexual Violence,Current Intimate Partner,Rural,,,,,1.6
2016,Physical and or sexual Violence,Current Intimate Partner,Rural,,,,,6.3
2016,Emotional Violence,Current Intimate Partner,,All Ever-partnered,,,,11.1
2016,Physical Violence,Current Intimate Partner,,All Ever-partnered,,,,5.9
2016,Sexual Violence,Current Intimate Partner,,All Ever-partnered,,,,1.9
2016,Physical and or sexual Violence,Current Intimate Partner,,All Ever-partnered,,,,7.0
2016,Physical Violence,Lifetime,,,15-19,,,13.2
2016,Physical Violence,Lifetime,,,20-24,,,20.6
2016,Physical Violence,Lifetime,,,25-29,,,31.0
2016,Physical Violence,Lifetime,,,30-34,,,23.7
2016,Physical Violence,Lifetime,,,35-39,,,29.9
2016,Physical Violence,Lifetime,,,40-44,,,28.2
2016,Physical Violence,Lifetime,,,45-49,,,25.1
2016,Physical Violence,Lifetime,,,50-54,,,21.1
2016,Physical Violence,Lifetime,,,55-59,,,26.0
2016,Physical Violence,Lifetime,,,60-64,,,26.6
2016,Physical Violence,Current,,,15-19,,,9.6
2016,Physical Violence,Current,,,20-24,,,7.0
2016,Physical Violence,Current,,,25-29,,,12.2
2016,Physical Violence,Current,,,30-34,,,4.3
2016,Physical Violence,Current,,,35-39,,,6.2
2016,Physical Violence,Current,,,40-44,,,6.3
2016,Physical Violence,Current,,,45-49,,,5.0
