Year,Indicators,Geographic Region,Value
2017,Lakes and rivers permanent water area change (%),Jamaica,-5.39
2017,Lakes and rivers permanent water area (square kilometres),Jamaica,15.45
2017,Lakes and rivers permanent water area (% of total land area),Jamaica,0.0
2017,Lakes and rivers seasonal water area change (%),Jamaica,-18.65
2017,Lakes and rivers seasonal water area (square kilometres),Jamaica,15.62
2017,Lakes and rivers seasonal water area (% of total land area),Jamaica,0.0
2018,Lakes and rivers permanent water area change (%),Jamaica,-3.17
2018,Lakes and rivers permanent water area (square kilometres),Jamaica,15.81
2018,Lakes and rivers permanent water area (% of total land area),Jamaica,0.0
2018,Lakes and rivers seasonal water area change (%),Jamaica,-11.41
2018,Lakes and rivers seasonal water area (square kilometres),Jamaica,17.01
2018,Lakes and rivers seasonal water area (% of total land area),Jamaica,0.0
