Year,Mode of Transport,Unit,Value
2019,Number of Air Passenger Movement,'(000),6621
2020,Number of Air Passenger Movement,'(000),2255
2019,Freight Movement by Air,('000 tonnes),28381
2020,Freight Movement by Air,('000 tonnes),22303
2019,Freight Movement by Water,('000 tonnes),15837
2020,Freight Movement by Water,('000 tonnes),13146
2018,Freight Movement by Water,('000 tonnes),17178
2010,Number of Air Passenger Movement,'(000),4742
2011,Number of Air Passenger Movement,'(000),4764
2012,Number of Air Passenger Movement,'(000),4854
2013,Number of Air Passenger Movement,'(000),4837
2014,Number of Air Passenger Movement,'(000),5061
2015,Number of Air Passenger Movement,'(000),5298
2016,Number of Air Passenger Movement,'(000),5517
2017,Number of Air Passenger Movement,'(000),5907
2018,Number of Air Passenger Movement,'(000),6237
2011,Freight Movement by Air,('000 tonnes),22888
2012,Freight Movement by Air,('000 tonnes),24308
2013,Freight Movement by Air,('000 tonnes),19172
2014,Freight Movement by Air,('000 tonnes),16080
2015,Freight Movement by Air,('000 tonnes),18299
2016,Freight Movement by Air,('000 tonnes),26987
2017,Freight Movement by Air,('000 tonnes),29104
2018,Freight Movement by Air,('000 tonnes),29602
2010,Freight Movement by Water,('000 tonnes),15343
2011,Freight Movement by Water,('000 tonnes),17022
2012,Freight Movement by Water,('000 tonnes),15458
2013,Freight Movement by Water,('000 tonnes),15082
2014,Freight Movement by Water,('000 tonnes),15424
2015,Freight Movement by Water,('000 tonnes),15094
2016,Freight Movement by Water,('000 tonnes),14298
2017,Freight Movement by Water,('000 tonnes),14501
2018,Freight Movement by Water,('000 tonnes),17171
