Year,Event,Units,Value
1999/00,Drought,Cost ($JB),0.73
2001,Hurricane Michelle,Cost ($JB),2.52
2001,Hurricane Michelle,Impact (% GDP),0.8
2002,May/June Flood Rains,Cost ($JB),2.47
2002,May/June Flood Rains,Impact (% GDP),0.7
2004,Hurricane Charley,Cost ($JB),0.44
2004,Hurricane Charley,Impact (% GDP),0.02
2004,Hurricane Ivan,Cost ($JB),36.9
2004,Hurricane Ivan,Impact (% GDP),8.0
2005,Hurricanes Dennis and Emily,Cost ($JB),5.98
2005,Hurricane Dennis and Emily,Impact (% GDP),1.2
2005,Hurricane Wilma,Cost ($JB),3.6
2005,Hurricane Wilma,Impact (% GDP),0.7
2005,Drought,Cost ($JB),0.52
2007,Hurricane Dean,Cost ($JB),23.8
2007,Hurricane Dean,Impact (% GDP),3.4
2008,Tropical Storm Gustav,Cost ($JB),15.5
2008,Tropical Storm Gustav,Impact (% GDP),2.0
2008,Drought,Cost ($JB),0.04
2010,Tropical Storm Nicole,Cost ($JB),20.6
2010,Tropical Storm Nicole,Impact (% GDP),1.9
2012,Hurricane Sandy,Cost ($JB),9.9
2012,Hurricane Sandy,Impact (% GDP),0.8
2014,Drought,Cost ($JB),0.9
2017,May Flood Rains,Cost ($JB),4.05
2017,May Flood Rains,Impact (% GDP),0.2
1999-2017,Average,Cost ($JB),8.53
1999-2017,Average,Impact (% GDP),1.8
