Year,Financial Institution,Value
2019,Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),6654175
2019,Number of deposit account at commercial banks supervised by the BOJ,3501478
2020,Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),6913965
2020,Number of deposit account at commercial banks supervised by the BOJ,3713373
2021,Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),6452002
2021,Number of deposit account at commercial banks supervised by the BOJ,3964612
2016,Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),4176852
2016,Number of deposit account at commercial banks supervised by the BOJ,2422693
2017,Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),4015404
2017,Number of deposit account at commercial banks supervised by the BOJ,3162240
2018,Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),4161236
2018,Number of deposit account at commercial banks supervised by the BOJ,3291995
