Value,Disaggregation combinations using this value,Number of indicators
0-11 Months,2,2
10-14 years,3,1
12-23 Months,2,2
13-14 years,3,1
14-19,12,1
15-17 years,3,1
15-19 years,1,1
15-19,7,1
15-24 years old,8,2
2-4 years,3,1
20-24 years,1,1
20-24,19,2
24-23 Months,1,1
24-35 Months,1,1
25-29 years,1,1
25-29,7,1
25-34,12,1
25 + years old,2,1
25+ years old,6,1
30-34 years,1,1
30-34,7,1
35-39 years,1,1
35-39,7,1
35-44,12,1
36-47 months,6,1
36-47 Months,2,2
40-44 years,1,1
40-44,7,1
45-49 years,1,1
45-49,7,1
45-54,12,1
48-59 months,6,1
48-59 Months,2,2
5-12 years,3,1
5-9 years,3,1
50-54,7,1
55-59,7,1
55-64,12,1
60-64,7,1
65 and over,12,1
Adolescents (10-19),1,1
Any Physical Punishment,2,1
Before 15 years old,2,1
Before 18 years old,4,1
Children (0--17),1,1
Children (0-17),1,1
Early Childhood (0-8),1,1
Elderly (60+),1,1
Prime Working Age (35-59),1,1
Psychological Aggression,2,1
Severe Physical Punishment,2,1
Total,14,2
Young Adults (25-34),1,1
Youth( 15-24),1,1
Youth(15-24),1,1
