Value,Disaggregation combinations using this value,Number of indicators
Amount going to large equipment,1,1
Lead sulphate exported,1,1
Obsolete pesticide exported,2,1
of which lamps,1,1
of which small equipment,1,1
of which Small IT and telecommunication equipment,1,1
of which: Small IT and telecommunication equipment,1,1
Screens monitors  and equipment containing screens (..),1,1
Screens monitors and equipment containing screens (..),1,1
Small E-waste,1,1
Solid contaminated with polychlorinatedbiphenyl (PCB) exported,2,1
Temperature exchange equipment (Cooling and Freezing Equipment),1,1
Total E-waste generated,1,1
Total exported,1,1
Used lead acid batteries exported,1,1
