Value,Disaggregation combinations using this value,Number of indicators
Degree of integrated water resources management implementation (0–100) in Jamaica,1,1
Degree of integrated water resources management implementation in financing,1,1
"Degree of integrated water resources management implementation in the ""enabling environment""",1,1
Degree of integrated water resources management implementation within institutions,1,1
Degree of integrated water resources management implementation within management instruments,1,1
Lakes and rivers permanent water area change (%),1,1
Lakes and rivers permanent water area (% of total land area),1,1
Lakes and rivers permanent water area (square kilometres),1,1
Lakes and rivers seasonal water area change (%),1,1
Lakes and rivers seasonal water area (% of total land area),1,1
Lakes and rivers seasonal water area (square kilometres),1,1
