Value,Disaggregation combinations using this value,Number of indicators
Annual deforestation rate,1,1
Closed broadleaf forest,1,1
Disturbed broadleaf forest,1,1
Forest area as a % of Total land area,1,1
Mangrove forest,1,1
Open dry forest – Short,1,1
Open dry forest – Tall,1,1
Plantation,1,1
Protected forest area as a % of Total forest area,1,1
Protected forest area as a % of Total land area,1,1
Protected forest area,1,1
Secondary forest,1,1
Sub-total,1,1
Swamp forest,1,1
Total forest area,1,1
Total Forest Cover,1,1
Total land area,1,1
