Value,Disaggregation combinations using this value,Number of indicators
Average,1,1
Belmont,1,1
Blue Lagoon (Portland),1,1
Clarendon,2,1
CRHI (overall mean),1,1
Discovery Bay,1,1
Falmouth,1,1
Hopewell - Green Island (Hanover),1,1
Kingston,2,1
Monkey Island,1,1
Montego Bay Marine Park,1,1
Negril (Hanover/Westmoreland),2,1
Negril Marine Park,1,1
Ocho Rios Marine Park,1,1
Oracabessa Bay Special Fishery Conservation Area,1,1
Port Royal Protected Area,1,1
Portland Bight Protected Area,1,1
Portland,2,1
Sandals Boscobel Special Fishery Conservation Area,1,1
Sandals Whitehouse Special Fishery Conservation Area,1,1
Savanna-la-mar,1,1
St Catherine,2,1
St James,2,1
Trelawmy,2,1
Trelawny,1,1
Westmoreland,2,1
