Value,Disaggregation combinations using this value,Number of indicators
232,1,1
243,1,1
268,1,1
287,1,1
43.4,1,1
46.2,1,1
50,1,1
51,1,1
551,1,1
580,1,1
Clarendon,13,3
Hanover,13,3
Jamaica,10,2
Kingston and St Andrew,5,1
Kingston,8,2
Manchester,13,3
Portland,8,2
Portmore,5,1
St  Andrew,5,1
St Andrew,1,1
St. Andrew,2,1
St  Ann,5,1
St Ann,6,2
St. Ann,2,1
St  Catherine,5,1
St Catherine,6,2
St. Catherine,2,1
St  Elizabeth,5,1
St Elizabeth,6,2
St. Elizabeth,2,1
St  James,5,1
St James,6,2
St. James,2,1
St  Mary,5,1
St Mary,6,2
St. Mary,2,1
St  Thomas,5,1
St Thomas,6,2
St. Thomas,2,1
Trelawny,13,3
Westmoreland,13,3
