Value,Disaggregation combinations using this value,Number of indicators
Alumina,1,1
Bauxite,1,1
Clay,1,1
Gas Turbines & Combined Cycle Plant,1,1
Gypsum,1,1
Hydro,1,1
Limestone,1,1
Lossess & Accounted for ('000 MWh),1,1
Lossess & Accounted for,1,1
Marl and Fill,1,1
Percentage Contribution of IIPs,1,1
Percentage Contribution of Jamaica Public Service Company (JPSCo),1,1
Pozzolan,1,1
Purchase from Independent Power Producers (IIPs) ('000 Mwh),3,1
Purchase from Independent Power Producers (IIPs),2,1
Sand and Gravel,1,1
Shale,1,1
Silica Sand,1,1
Steam & Slow Speed Plants,1,1
System losses as a percentage of net generation,1,1
Total,1,1
