Value,Disaggregation combinations using this value,Number of indicators
10.2,1,1
1.2,1,1
15.4,1,1
15.9,1,1
16.2,1,1
1.7,1,1
17.8,1,1
21.6,1,1
24.4,2,1
31.1,1,1
31.2,1,1
31.7,1,1
32.6,1,1
3.3,2,1
3.4,1,1
35.6,1,1
3.7,1,1
37.29,1,1
37.3,1,1
3.8,1,1
38.3,1,1
38.6,1,1
39.3,1,1
4.0,2,1
40.6,1,1
40.7,1,1
4.1,3,2
4.2,1,1
4.3,1,1
43.5,1,1
43.9,1,1
4.4,1,1
4.5,3,2
45.5,1,1
45.9,1,1
4.7,1,1
4.8,1,1
4.9,1,1
5.4,2,2
5.8,1,1
5.9,2,2
6.0,2,1
6.1,2,1
6.4,1,1
6.5,1,1
6.6,1,1
6.7,1,1
6.8,1,1
6.82,1,1
6.9,1,1
7.1,1,1
7.2,1,1
7.3,1,1
7.5,2,1
7.6,1,1
7.7,1,1
7.8,1,1
8.2,2,1
8.4,1,1
8.5,1,1
9.7,1,1
